학번,국어,영어,수학,역사,도덕,과학,음악,미술,한국사,한국지리,물리학,생물학,화학,지구과학,세계사,세계지리,한문,기술,가정,정보
S0001,99,66,82,66,98,98,81,73,55,93,83,89,68,69,64,80,61,56,55,63
S0002,53,63,77,70,64,73,84,51,80,94,53,53,65,72,77,68,55,83,86,88
S0003,73,81,77,52,73,57,60,90,91,56,71,50,82,62,91,73,56,52,57,87
S0004,72,63,77,71,60,70,98,90,72,100,68,56,53,67,79,51,97,81,70,65
S0005,59,81,78,57,61,83,77,77,63,57,77,75,72,53,54,69,87,74,76,72
S0006,74,62,67,76,57,50,60,52,78,69,100,65,50,73,78,81,74,73,65,86
S0007,93,76,62,96,68,79,84,55,66,52,60,75,50,52,65,70,56,86,54,80
S0008,81,69,64,73,94,54,66,77,91,96,73,51,59,70,77,86,75,67,54,51
S0009,84,91,63,97,89,81,69,62,57,82,86,83,57,51,82,88,50,78,56,63
S0010,61,76,63,84,98,97,56,89,79,58,78,86,93,58,78,56,80,80,88,79
S0011,72,69,55,66,56,74,96,77,80,66,79,86,58,52,64,86,58,51,97,58
S0012,76,89,60,87,53,52,55,75,92,85,81,90,70,97,97,56,89,67,56,86
S0013,77,65,81,52,69,82,62,99,82,65,94,96,98,96,57,90,84,93,62,70
S0014,51,57,56,98,79,55,59,95,72,89,99,91,82,67,76,93,94,65,65,95
S0015,99,96,99,53,53,83,59,69,84,77,93,56,98,91,87,87,55,70,97,94
S0016,85,62,58,64,60,83,66,92,86,70,86,61,59,79,62,57,98,84,52,79
S0017,73,76,94,80,99,62,85,80,85,92,52,70,88,89,61,77,83,61,63,93
S0018,55,77,98,81,77,79,56,88,57,83,83,51,61,98,64,59,61,95,92,61
S0019,66,71,97,74,65,78,65,80,63,86,99,82,95,63,87,95,72,71,93,52
S0020,100,85,76,86,68,97,90,84,83,72,68,76,93,79,51,86,61,88,87,89
S0021,70,52,98,98,83,99,51,100,80,94,53,89,99,98,64,65,93,66,65,80
S0022,53,92,74,78,87,82,62,67,50,90,63,97,99,88,80,74,86,76,91,91
S0023,58,73,62,70,86,56,76,56,74,98,89,80,58,62,63,81,66,63,82,98
S0024,88,87,70,88,69,59,69,59,89,83,55,88,73,55,99,98,66,52,91,63
S0025,60,88,69,77,61,82,61,51,100,75,78,55,61,71,91,87,53,87,54,83
S0026,85,75,84,73,75,53,81,92,68,98,80,75,59,97,100,61,100,77,61,94
